,Video,Thr,TP,FP,TN,FN,Acc,Histo-real,Histo-pred,Conf
0,1.0,0.1,357.0,0.0,0.0,3.0,0.9916666666666667,1.0,1.0,0.9916666666666667
1,1.0,0.2,349.0,0.0,0.0,10.0,0.9721448467966574,1.0,1.0,0.9721448467966574
2,1.0,0.3,344.0,0.0,0.0,14.0,0.9608938547486033,1.0,1.0,0.9608938547486033
3,1.0,0.4,340.0,0.0,0.0,18.0,0.9497206703910615,1.0,1.0,0.9497206703910615
4,1.0,0.5,336.0,0.0,0.0,20.0,0.9438202247191011,1.0,1.0,0.9438202247191011
5,1.0,0.6,329.0,0.0,0.0,16.0,0.9536231884057971,1.0,1.0,0.9536231884057971
6,1.0,0.7,322.0,0.0,0.0,10.0,0.9698795180722891,1.0,1.0,0.9698795180722891
7,1.0,0.8,312.0,0.0,0.0,1.0,0.9968051118210862,1.0,1.0,0.9968051118210862
8,1.0,0.9,190.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
9,2.0,0.1,0.0,0.0,301.0,0.0,1.0,0.0,0.0,1.0
10,2.0,0.2,0.0,0.0,301.0,0.0,1.0,0.0,0.0,1.0
11,2.0,0.3,0.0,0.0,301.0,0.0,1.0,0.0,0.0,1.0
12,2.0,0.4,0.0,0.0,301.0,0.0,1.0,0.0,0.0,1.0
13,2.0,0.5,0.0,0.0,301.0,0.0,1.0,0.0,0.0,1.0
14,2.0,0.6,0.0,0.0,301.0,0.0,1.0,0.0,0.0,1.0
15,2.0,0.7,0.0,0.0,301.0,0.0,1.0,0.0,0.0,1.0
16,2.0,0.8,0.0,0.0,282.0,0.0,1.0,0.0,0.0,1.0
17,2.0,0.9,0.0,0.0,68.0,0.0,1.0,0.0,0.0,1.0
18,3.0,0.1,459.0,0.0,0.0,78.0,0.8547486033519553,1.0,1.0,0.8547486033519553
19,3.0,0.2,391.0,0.0,0.0,128.0,0.7533718689788054,1.0,1.0,0.7533718689788054
20,3.0,0.3,336.0,0.0,0.0,126.0,0.7272727272727273,1.0,1.0,0.7272727272727273
21,3.0,0.4,306.0,0.0,0.0,92.0,0.7688442211055276,1.0,1.0,0.7688442211055276
22,3.0,0.5,252.0,0.0,0.0,81.0,0.7567567567567568,1.0,1.0,0.7567567567567568
23,3.0,0.6,181.0,0.0,0.0,46.0,0.7973568281938326,1.0,1.0,0.7973568281938326
24,3.0,0.7,119.0,0.0,0.0,24.0,0.8321678321678322,1.0,1.0,0.8321678321678322
25,3.0,0.8,42.0,0.0,0.0,13.0,0.7636363636363637,1.0,1.0,0.7636363636363637
26,3.0,0.9,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
27,4.0,0.1,334.0,0.0,0.0,91.0,0.7858823529411765,1.0,1.0,0.7858823529411765
28,4.0,0.2,240.0,0.0,0.0,85.0,0.7384615384615385,1.0,1.0,0.7384615384615385
29,4.0,0.3,179.0,0.0,0.0,76.0,0.7019607843137254,1.0,1.0,0.7019607843137254
30,4.0,0.4,122.0,0.0,0.0,69.0,0.6387434554973822,1.0,1.0,0.6387434554973822
31,4.0,0.5,71.0,0.0,0.0,37.0,0.6574074074074074,1.0,1.0,0.6574074074074074
32,4.0,0.6,27.0,0.0,0.0,15.0,0.6428571428571429,1.0,1.0,0.6428571428571429
33,4.0,0.7,6.0,0.0,0.0,3.0,0.6666666666666666,1.0,1.0,0.6666666666666666
34,4.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
35,4.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
36,5.0,0.1,970.0,0.0,0.0,166.0,0.8538732394366197,1.0,1.0,0.8538732394366197
37,5.0,0.2,796.0,0.0,0.0,183.0,0.8130745658835546,1.0,1.0,0.8130745658835546
38,5.0,0.3,611.0,0.0,0.0,188.0,0.7647058823529411,1.0,1.0,0.7647058823529411
39,5.0,0.4,454.0,0.0,0.0,189.0,0.7060653188180405,1.0,1.0,0.7060653188180405
40,5.0,0.5,344.0,0.0,0.0,164.0,0.6771653543307087,1.0,1.0,0.6771653543307087
41,5.0,0.6,247.0,0.0,0.0,112.0,0.6880222841225627,1.0,1.0,0.6880222841225627
42,5.0,0.7,131.0,0.0,0.0,69.0,0.655,1.0,1.0,0.655
43,5.0,0.8,99.0,0.0,0.0,22.0,0.8181818181818182,1.0,1.0,0.8181818181818182
44,5.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
45,6.0,0.1,363.0,0.0,0.0,61.0,0.8561320754716981,1.0,1.0,0.8561320754716981
46,6.0,0.2,294.0,0.0,0.0,124.0,0.7033492822966507,1.0,1.0,0.7033492822966507
47,6.0,0.3,239.0,0.0,0.0,170.0,0.5843520782396088,1.0,1.0,0.5843520782396088
48,6.0,0.4,202.0,0.0,0.0,198.0,0.505,1.0,1.0,0.505
49,6.0,0.5,169.0,0.0,0.0,219.0,0.43556701030927836,1.0,0.0,0.5644329896907216
50,6.0,0.6,133.0,0.0,0.0,233.0,0.3633879781420765,1.0,0.0,0.6366120218579235
51,6.0,0.7,92.0,0.0,0.0,176.0,0.34328358208955223,1.0,0.0,0.6567164179104478
52,6.0,0.8,56.0,0.0,0.0,86.0,0.39436619718309857,1.0,0.0,0.6056338028169014
53,6.0,0.9,2.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666
54,7.0,0.1,819.0,0.0,0.0,32.0,0.9623971797884842,1.0,1.0,0.9623971797884842
55,7.0,0.2,736.0,0.0,0.0,16.0,0.9787234042553191,1.0,1.0,0.9787234042553191
56,7.0,0.3,684.0,0.0,0.0,16.0,0.9771428571428571,1.0,1.0,0.9771428571428571
57,7.0,0.4,621.0,0.0,0.0,12.0,0.981042654028436,1.0,1.0,0.981042654028436
58,7.0,0.5,574.0,0.0,0.0,7.0,0.9879518072289156,1.0,1.0,0.9879518072289156
