,Video,Thr,TP,FP,TN,FN,RT
0,1.0,0.1,361.0,770.0,581.0,4.0,0.0
1,1.0,0.2,359.0,509.0,842.0,6.0,0.0
2,1.0,0.3,358.0,376.0,975.0,7.0,0.0
3,1.0,0.4,358.0,271.0,1080.0,7.0,0.0
4,1.0,0.5,356.0,179.0,1172.0,9.0,0.0
5,1.0,0.6,345.0,93.0,1258.0,20.0,0.0
6,1.0,0.7,332.0,33.0,1318.0,33.0,0.0
7,1.0,0.8,313.0,6.0,1345.0,52.0,0.0
8,1.0,0.9,190.0,0.0,1351.0,175.0,76.0
9,2.0,0.1,301.0,0.0,0.0,1.0,0.0
10,2.0,0.2,301.0,0.0,0.0,1.0,0.0
11,2.0,0.3,301.0,0.0,0.0,1.0,0.0
12,2.0,0.4,301.0,0.0,0.0,1.0,0.0
13,2.0,0.5,301.0,0.0,0.0,1.0,0.0
14,2.0,0.6,301.0,0.0,0.0,1.0,0.0
15,2.0,0.7,301.0,0.0,0.0,1.0,0.0
16,2.0,0.8,282.0,0.0,0.0,20.0,0.0
17,2.0,0.9,68.0,0.0,0.0,234.0,27.0
18,3.0,0.1,618.0,43.0,9.0,20.0,0.0
19,3.0,0.2,583.0,34.0,18.0,55.0,0.0
20,3.0,0.3,511.0,26.0,26.0,127.0,0.0
21,3.0,0.4,422.0,14.0,38.0,216.0,0.0
22,3.0,0.5,342.0,10.0,42.0,296.0,0.0
23,3.0,0.6,231.0,5.0,47.0,407.0,0.0
24,3.0,0.7,144.0,3.0,49.0,494.0,6.0
25,3.0,0.8,55.0,0.0,52.0,583.0,344.0
26,3.0,0.9,2.0,0.0,52.0,636.0,561.0
27,4.0,0.1,507.0,33.0,66.0,414.0,0.0
28,4.0,0.2,374.0,10.0,89.0,547.0,0.0
29,4.0,0.3,287.0,4.0,95.0,634.0,0.0
30,4.0,0.4,216.0,3.0,96.0,705.0,2.0
31,4.0,0.5,120.0,2.0,97.0,801.0,158.0
32,4.0,0.6,46.0,1.0,98.0,875.0,158.0
33,4.0,0.7,12.0,1.0,98.0,909.0,184.0
34,4.0,0.8,0.0,0.0,99.0,921.0,-1.0
35,4.0,0.9,0.0,0.0,99.0,921.0,-1.0
36,5.0,0.1,1279.0,621.0,635.0,75.0,1.0
37,5.0,0.2,1104.0,412.0,844.0,250.0,1.0
38,5.0,0.3,905.0,268.0,988.0,449.0,1.0
39,5.0,0.4,722.0,196.0,1060.0,632.0,6.0
40,5.0,0.5,561.0,138.0,1118.0,793.0,13.0
41,5.0,0.6,383.0,102.0,1154.0,971.0,13.0
42,5.0,0.7,209.0,64.0,1192.0,1145.0,13.0
43,5.0,0.8,122.0,13.0,1243.0,1232.0,13.0
44,5.0,0.9,0.0,0.0,1256.0,1354.0,-1.0
45,6.0,0.1,440.0,0.0,0.0,14.0,0.0
46,6.0,0.2,435.0,0.0,0.0,19.0,0.0
47,6.0,0.3,425.0,0.0,0.0,29.0,0.0
48,6.0,0.4,411.0,0.0,0.0,43.0,0.0
49,6.0,0.5,396.0,0.0,0.0,58.0,0.0
50,6.0,0.6,370.0,0.0,0.0,84.0,0.0
51,6.0,0.7,269.0,0.0,0.0,185.0,2.0
52,6.0,0.8,142.0,0.0,0.0,312.0,18.0
53,6.0,0.9,3.0,0.0,0.0,451.0,39.0
54,7.0,0.1,1042.0,253.0,30.0,74.0,25.0
55,7.0,0.2,947.0,204.0,79.0,169.0,40.0
56,7.0,0.3,869.0,165.0,118.0,247.0,48.0
57,7.0,0.4,755.0,137.0,146.0,361.0,50.0
58,7.0,0.5,669.0,106.0,177.0,447.0,50.0
59,7.0,0.6,556.0,73.0,210.0,560.0,52.0
60,7.0,0.7,395.0,42.0,241.0,721.0,53.0
61,7.0,0.8,257.0,5.0,278.0,859.0,171.0
62,7.0,0.9,34.0,0.0,283.0,1082.0,398.0
63,8.0,0.1,430.0,105.0,82.0,343.0,0.0
64,8.0,0.2,211.0,82.0,105.0,562.0,1.0
65,8.0,0.3,115.0,64.0,123.0,658.0,1.0
66,8.0,0.4,61.0,50.0,137.0,712.0,34.0
67,8.0,0.5,31.0,38.0,149.0,742.0,34.0
68,8.0,0.6,19.0,27.0,160.0,754.0,34.0
69,8.0,0.7,10.0,18.0,169.0,763.0,35.0
70,8.0,0.8,1.0,5.0,182.0,772.0,35.0
71,8.0,0.9,0.0,0.0,187.0,773.0,-1.0
72,9.0,0.1,447.0,32.0,104.0,185.0,0.0
73,9.0,0.2,406.0,8.0,128.0,226.0,0.0
74,9.0,0.3,375.0,1.0,135.0,257.0,5.0
75,9.0,0.4,341.0,1.0,135.0,291.0,5.0
76,9.0,0.5,302.0,0.0,136.0,330.0,6.0
77,9.0,0.6,245.0,0.0,136.0,387.0,6.0
78,9.0,0.7,183.0,0.0,136.0,449.0,6.0
79,9.0,0.8,100.0,0.0,136.0,532.0,10.0
80,9.0,0.9,11.0,0.0,136.0,621.0,150.0
81,10.0,0.1,190.0,0.0,0.0,1.0,0.0
82,10.0,0.2,190.0,0.0,0.0,1.0,0.0
83,10.0,0.3,190.0,0.0,0.0,1.0,0.0
84,10.0,0.4,186.0,0.0,0.0,5.0,0.0
85,10.0,0.5,173.0,0.0,0.0,18.0,3.0
86,10.0,0.6,137.0,0.0,0.0,54.0,5.0
87,10.0,0.7,71.0,0.0,0.0,120.0,8.0
88,10.0,0.8,33.0,0.0,0.0,158.0,83.0
89,10.0,0.9,11.0,0.0,0.0,180.0,118.0
90,11.0,0.1,1021.0,0.0,0.0,164.0,0.0
91,11.0,0.2,796.0,0.0,0.0,389.0,0.0
92,11.0,0.3,578.0,0.0,0.0,607.0,0.0
93,11.0,0.4,421.0,0.0,0.0,764.0,0.0
94,11.0,0.5,263.0,0.0,0.0,922.0,0.0
95,11.0,0.6,127.0,0.0,0.0,1058.0,0.0
96,11.0,0.7,52.0,0.0,0.0,1133.0,36.0
97,11.0,0.8,9.0,0.0,0.0,1176.0,250.0
98,11.0,0.9,1.0,0.0,0.0,1184.0,250.0
99,12.0,0.1,248.0,102.0,138.0,22.0,0.0
100,12.0,0.2,223.0,51.0,189.0,47.0,1.0
101,12.0,0.3,198.0,31.0,209.0,72.0,1.0
102,12.0,0.4,188.0,19.0,221.0,82.0,1.0
103,12.0,0.5,179.0,10.0,230.0,91.0,1.0
104,12.0,0.6,167.0,2.0,238.0,103.0,3.0
